"","Year","Emissions","Per_Capita","Temp","CO2","CH4","N2O","CFC","HCFCs","HFCs","Total_Rad_Force","Cumulative_PPM","Proportion_1990","Change_Percent_Previous","Ocean_Heat","Sea_Surface_Temp_Anomaly"
"15",1993,75.1240775216672,14.2311661386469,45.575,1.375,0.495,0.138,0.346,0.024,0.004,2.382,434,1.035,0.7,0.447766667,0.052
"16",1994,80.125838963616,14.9066863231848,47.9,1.399,0.497,0.14,0.348,0.025,0.004,2.413,437,1.049,1.4,1.273766667,0.09
"17",1995,78.0437655319865,14.2388945597215,47.5416666666667,1.427,0.5,0.141,0.349,0.027,0.005,2.449,440,1.064,1.5,2.027766667,0.169
"18",1996,81.6011650161683,14.6507690765045,45.6083333333333,1.455,0.501,0.144,0.35,0.028,0.005,2.483,443,1.079,1.5,4.307766667,0.086
"19",1997,79.319846896417,13.9776886787053,47.1083333333333,1.472,0.502,0.146,0.35,0.03,0.006,2.506,445,1.089,1,3.008766667,0.353
"20",1998,83.8955809719818,14.5410658507495,48.6,1.512,0.506,0.149,0.35,0.031,0.007,2.556,449,1.111,2.1,4.067766667,0.441
"21",1999,85.3044284441061,14.600512453797,46.9416666666667,1.545,0.509,0.152,0.35,0.033,0.008,2.596,452,1.128,1.8,5.706766667,0.079
"22",2000,84.1178510036955,14.2319059674856,46.175,1.563,0.509,0.156,0.349,0.035,0.008,2.62,454,1.139,1,5.435766667,0.129
"23",2001,79.5458261230743,13.2892617002718,46.875,1.587,0.509,0.158,0.348,0.036,0.01,2.647,456,1.151,1.2,3.880766667,0.356
"24",2002,73.1365499271328,12.0839941528707,46.9333333333333,1.617,0.509,0.16,0.347,0.038,0.011,2.682,459,1.166,1.5,6.552766667,0.41
"25",2003,75.5519549808209,12.3772168415603,48.175,1.656,0.511,0.163,0.345,0.039,0.012,2.725,463,1.185,1.9,9.715766667,0.453
"26",2004,77.3892331787566,12.5252758782478,48.3916666666667,1.683,0.511,0.164,0.344,0.04,0.013,2.756,466,1.198,1.3,10.00376667,0.434
"27",2005,78.8432131753228,12.600187009475,47.3333333333333,1.713,0.51,0.167,0.342,0.042,0.015,2.788,469,1.212,1.4,8.175766667,0.428
"28",2006,76.9046604720395,12.0715181505294,47.5083333333333,1.745,0.51,0.17,0.34,0.043,0.016,2.825,472,1.228,1.6,10.19376667,0.426
"29",2007,82.0289061944922,12.694854405658,46.7916666666667,1.771,0.512,0.172,0.338,0.045,0.018,2.857,475,1.242,1.4,9.241766667,0.293
"30",2008,79.0863898587603,12.0517534141606,45.7583333333333,1.803,0.514,0.175,0.336,0.048,0.02,2.895,478,1.258,1.7,9.815766667,0.27
